Year,Month,20348867
1999,01,40.51
1999,02,17.42
1999,03,19.58
1999,04,55.51
1999,05,1.36
1999,06,6.22
1999,07,6.49
1999,08,0.34
1999,09,1.64
1999,10,0
1999,11,3.75
1999,12,4.76
2000,01,21.57
2000,02,117.51
2000,03,49.56
2000,04,39.1
2000,05,2.11
2000,06,0.09
2000,07,0
2000,08,2.18
2000,09,5.38
2000,10,31.31
2000,11,5.25
2000,12,2.09
2001,01,102.1
2001,02,143.55
2001,03,26.34
2001,04,36.04
2001,05,1.89
2001,06,0.86
2001,07,1.09
2001,08,0.18
2001,09,0.56
2001,10,0.32
2001,11,43.27
2001,12,33
2002,01,17.79
2002,02,5.95
2002,03,17.68
2002,04,9.32
2002,05,1.64
2002,06,0.32
2002,07,0.11
2002,08,0.84
2002,09,2.57
2002,10,1.36
2002,11,60.35
2002,12,71.39
2003,01,3.05
2003,02,135.71
2003,03,83.05
2003,04,49.3
2003,05,17.74
2003,06,1.86
2003,07,5.28
2003,08,1.79
2003,09,0.42
2003,10,1.24
2003,11,20.51
2003,12,39.75
2004,01,14.28
2004,02,110.98
2004,03,17.06
2004,04,14.8
2004,05,0.09
2004,06,0.21
2004,07,0.26
2004,08,0.79
2004,09,0.34
2004,10,182.6
2004,11,21.99
2004,12,97.22
2005,01,250.06
2005,02,207.85
2005,03,29.26
2005,04,25.61
2005,05,8.76
2005,06,0.44
2005,07,2.53
2005,08,1.65
2005,09,6.48
2005,10,31.08
2005,11,2.51
2005,12,6.91
2006,01,32.81
2006,02,66.77
2006,03,94.15
2006,04,72.79
2006,05,11.95
2006,06,0.59
2006,07,3.24
2006,08,0.03
2006,09,2.43
2006,10,4.33
2006,11,5
2006,12,26.56
2007,01,13.23
2007,02,41.36
2007,03,11.72
2007,04,17.25
2007,05,2.29
2007,06,0.39
2007,07,0.14
2007,08,0.8
2007,09,15.37
2007,10,7.38
2007,11,38.23
2007,12,78.63
2008,01,186.08
2008,02,62.8
2008,03,9
2008,04,0.23
2008,05,18.82
2008,06,0.84
2008,07,0.89
2008,08,0.04
2008,09,0.97
2008,10,0.94
2008,11,47.44
2008,12,105.65
2009,01,7.05
2009,02,129.85
2009,03,6.1
2009,04,2.8
2009,05,1.75
2009,06,1.39
2009,07,0.11
2009,08,0.01
2009,09,1.98
2009,10,9.22
2009,11,9.27
2009,12,95.46
2010,01,177.96
2010,02,138.42
2010,03,14.14
2010,04,36.95
2010,05,1.54
2010,06,0.39
2010,07,0.74
2010,08,0.02
2010,09,0.62
2010,10,47.46
2010,11,42.2
2010,12,305.55
2011,01,25.2
2011,02,94.45
2011,03,81.75
2011,04,7.47
2011,05,16.8
2011,06,3.11
2011,07,0.49
2011,08,4.28
2011,09,2.43
2011,10,44.76
2011,11,63.84
2011,12,11.9
2012,01,32.24
2012,02,30.17
2012,03,87.98
2012,04,56.65
2012,05,4.24
2012,06,0
2012,07,8.33
2012,08,0.98
2012,09,1.42
2012,10,8.95
2012,11,24.19
2012,12,75.19
2013,01,38.05
2013,02,20.33
2013,03,26.56
2013,04,2.78
2013,05,11.43
2013,06,0.01
2013,07,0.35
2013,08,0
2013,09,0
2013,10,21.11
2013,11,32.85
2013,12,18.02
2014,01,4.67
2014,02,33.05
2014,03,76.47
2014,04,19.38
2014,05,0
2014,06,0
2014,07,0.14
2014,08,9.96
2014,09,1.39
