Year,Month,20331374
1999,01,51.27
1999,02,19.2
1999,03,21.73
1999,04,53.9
1999,05,0.52
1999,06,6.11
1999,07,1.89
1999,08,0.37
1999,09,1.33
1999,10,0
1999,11,0.77
1999,12,5.17
2000,01,13.28
2000,02,104.08
2000,03,31.62
2000,04,22.69
2000,05,1.49
2000,06,0.23
2000,07,0
2000,08,1.01
2000,09,1.77
2000,10,25.88
2000,11,12.54
2000,12,0.65
2001,01,86.62
2001,02,89.42
2001,03,33.84
2001,04,34.26
2001,05,2.81
2001,06,0
2001,07,2.29
2001,08,0
2001,09,0.14
2001,10,0
2001,11,25.2
2001,12,27.35
2002,01,10.47
2002,02,3.84
2002,03,20.73
2002,04,14.99
2002,05,0.57
2002,06,0
2002,07,0.01
2002,08,0.05
2002,09,6.7
2002,10,1.64
2002,11,43.9
2002,12,51.97
2003,01,1.57
2003,02,122.05
2003,03,53.65
2003,04,45.35
2003,05,13.32
2003,06,1.37
2003,07,3.45
2003,08,0.18
2003,09,0.3
2003,10,0.13
2003,11,26.42
2003,12,26.41
2004,01,7.15
2004,02,97.64
2004,03,10.75
2004,04,17.15
2004,05,0.37
2004,06,0
2004,07,0.4
2004,08,12.58
2004,09,0.1
2004,10,169.4
2004,11,19.9
2004,12,88.25
2005,01,154.77
2005,02,159.41
2005,03,47.81
2005,04,25.91
2005,05,5.86
2005,06,0.35
2005,07,3.18
2005,08,0.35
2005,09,4.29
2005,10,23.42
2005,11,2.44
2005,12,5.08
2006,01,23.8
2006,02,34.79
2006,03,69.2
2006,04,39.73
2006,05,14.84
2006,06,0.39
2006,07,4.94
2006,08,1.83
2006,09,0.03
2006,10,11.11
2006,11,8.19
2006,12,21.2
2007,01,15.71
2007,02,55.42
2007,03,9.41
2007,04,16.88
2007,05,0.66
2007,06,1.39
2007,07,0
2007,08,3.25
2007,09,3.13
2007,10,5.51
2007,11,39.78
2007,12,57.88
2008,01,111.14
2008,02,61.6
2008,03,4.01
2008,04,0.36
2008,05,8.79
2008,06,4.62
2008,07,5.09
2008,08,3.98
2008,09,0.65
2008,10,1.51
2008,11,42.04
2008,12,117.72
2009,01,2.66
2009,02,95.49
2009,03,3.1
2009,04,5.4
2009,05,0.75
2009,06,1.24
2009,07,0.03
2009,08,0
2009,09,3.08
2009,10,2.05
2009,11,13.72
2009,12,86.55
2010,01,134.31
2010,02,81.99
2010,03,14.89
2010,04,46.68
2010,05,0.48
2010,06,0.35
2010,07,0.21
2010,08,0.5
2010,09,2.25
2010,10,65.06
2010,11,34.77
2010,12,183.27
2011,01,17.26
2011,02,86.32
2011,03,49.65
2011,04,10.75
2011,05,15.13
2011,06,1.4
2011,07,0
2011,08,0
2011,09,3.35
2011,10,13.16
2011,11,80.51
2011,12,20.98
2012,01,18.09
2012,02,41.72
2012,03,48.04
2012,04,40
2012,05,1.32
2012,06,0
2012,07,0
2012,08,0
2012,09,0
2012,10,13.93
2012,11,7.11
2012,12,72.41
2013,01,37.49
2013,02,21.33
2013,03,36.17
2013,04,1.93
2013,05,11.72
2013,06,0
2013,07,0.69
2013,08,0.02
2013,09,0.46
2013,10,17.97
2013,11,14.14
2013,12,13.84
2014,01,2.22
2014,02,21.18
2014,03,46.95
2014,04,16.44
2014,05,0
2014,06,0
2014,07,1.87
2014,08,3.53
2014,09,2.63
